"Time","JPM stock"
"2023-01-01",43
"2023-02-01",33
"2023-03-01",100
"2023-04-01",56
"2023-05-01",59
"2023-06-01",41
"2023-07-01",52
"2023-08-01",37
"2023-09-01",28
"2023-10-01",39
"2023-11-01",34
"2023-12-01",38
"2024-01-01",46
"2024-02-01",37
"2024-03-01",40
"2024-04-01",46
"2024-05-01",41
"2024-06-01",36
"2024-07-01",47
"2024-08-01",46
"2024-09-01",45
"2024-10-01",44
"2024-11-01",49
"2024-12-01",39
"2025-01-01",48
"2025-02-01",51
"2025-03-01",54
"2025-04-01",64
"2025-05-01",42
"2025-06-01",44
"2025-07-01",59
"2025-08-01",47
"2025-09-01",52
"2025-10-01",54
"2025-11-01",43
"2025-12-01",47
