"Time","NVIDIA stock"
"2023-01-01",5
"2023-02-01",8
"2023-03-01",8
"2023-04-01",7
"2023-05-01",19
"2023-06-01",20
"2023-07-01",15
"2023-08-01",23
"2023-09-01",14
"2023-10-01",13
"2023-11-01",16
"2023-12-01",13
"2024-01-01",21
"2024-02-01",51
"2024-03-01",50
"2024-04-01",30
"2024-05-01",48
"2024-06-01",100
"2024-07-01",61
"2024-08-01",77
"2024-09-01",49
"2024-10-01",45
"2024-11-01",53
"2024-12-01",43
"2025-01-01",75
"2025-02-01",63
"2025-03-01",52
"2025-04-01",63
"2025-05-01",48
"2025-06-01",42
"2025-07-01",55
"2025-08-01",55
"2025-09-01",47
"2025-10-01",57
"2025-11-01",66
"2025-12-01",44
